Region,State,isol_sus,isol_pvt,int_sus,int_pvt,itu1_sus,itu2_sus,itu3_sus,itu1_pvt,itu2_pvt,itu3_pvt,coitu2_sus,coitu3_sus,coitu2_pvt,coitu3_pvt,citu1_sus,citu2_sus,citu3_sus,citu1_pvt,citu2_pvt,citu3_pvt,nnint_sus,nnint_pvt,nnitu1_sus,nnitu2_sus,nnitu3_sus,nnitu1_pvt,nnitu2_pvt,nnitu3_pvt,bitu_sus,bitu_pvt,nnintconv_sus,nnintconv_pvt,nnintk_sus,nnintk_pvt,cint_sus,cint_pvt
North,AC,31,-,10,-,-,33,-,-,15,-,-,-,-,-,-,11,-,-,1,-,-,-,-,15,-,-,7,-,-,-,16,21,13,17,4,-
Northeast,AL,27,7,-,-,22,124,30,45,57,21,-,10,-,-,-,32,9,4,7,4,-,-,-,75,9,10,29,9,-,-,131,26,17,16,2,-
North,AM,149,14,26,-,11,166,-,35,31,28,10,-,-,10,-,112,1,17,6,4,12,-,-,59,-,32,6,5,-,-,73,8,52,32,20,-
North,AP,21,1,4,-,8,4,-,18,16,-,-,-,-,-,-,5,-,-,5,-,-,-,-,20,-,9,14,-,-,-,18,15,6,1,5,-
Northeast,BA,244,50,132,53,-,732,42,82,461,161,27,-,1,21,-,127,4,1,58,8,-,-,-,220,-,26,117,5,4,-,155,161,68,64,17,4
Northeast,CE,96,17,78,39,13,373,44,99,234,39,30,-,8,13,-,97,-,18,19,8,25,15,-,175,-,23,58,17,-,-,263,64,42,30,7,-
Midwest,DF,14,71,-,30,-,129,52,353,289,94,-,-,34,34,-,59,11,34,47,17,-,-,-,33,54,29,51,35,6,8,25,97,-,62,-,-
Southeast,ES,51,15,32,16,-,318,-,85,313,-,15,-,42,-,-,23,-,38,40,-,5,-,-,120,-,35,102,-,9,7,49,44,18,13,1,-
Midwest,GO,130,53,43,8,13,503,-,153,365,19,9,-,15,-,8,85,-,7,55,-,21,-,-,117,-,22,107,20,9,9,10,57,5,5,16,2
Northeast,MA,136,17,56,-,-,278,25,113,156,-,-,-,-,-,-,42,10,-,12,20,13,-,-,132,-,9,35,-,-,-,56,83,28,11,8,-
Southeast,MG,251,73,31,19,7,1935,71,270,559,254,45,-,43,19,-,167,27,58,65,42,6,-,-,582,10,114,141,73,14,5,236,74,91,16,5,30
Midwest,MS,35,15,1,2,-,132,57,41,87,35,10,-,13,16,-,23,10,1,9,6,6,-,-,46,8,12,9,-,-,-,62,15,13,4,-,-
Midwest,MT,99,23,32,1,-,179,19,101,266,27,6,-,10,-,-,18,-,31,45,8,-,-,-,85,-,45,74,10,-,-,23,13,14,7,12,-
North,PA,202,40,23,13,-,342,6,116,115,30,10,-,-,10,-,104,-,11,6,18,20,-,-,164,-,18,3,26,2,-,186,80,16,7,6,-
Northeast,PB,102,6,25,5,37,241,12,26,79,59,20,-,10,5,20,52,4,1,20,5,2,-,4,59,-,9,20,9,6,-,56,19,31,4,-,-
Northeast,PE,122,23,16,62,1,667,87,303,304,46,18,-,59,-,-,95,23,28,27,-,56,-,-,116,18,56,81,-,2,-,124,41,53,9,6,29
Northeast,PI,63,4,16,-,14,108,18,22,50,15,-,-,-,-,-,20,2,15,12,7,15,3,-,57,-,32,5,10,-,-,53,18,21,2,5,3
South,PR,229,57,63,122,8,964,246,193,454,141,24,-,21,10,-,91,81,12,35,22,1,1,-,327,93,41,91,35,10,2,140,52,20,4,6,7
Southeast,RJ,194,192,336,269,165,879,131,1178,875,750,10,-,55,34,34,94,24,121,151,98,30,-,16,294,71,226,299,300,10,28,222,181,60,22,42,33
Northeast,RN,39,5,29,1,4,188,19,77,143,-,-,-,7,-,-,33,-,4,15,-,-,-,-,91,-,25,19,-,-,-,30,5,40,-,-,-
North,RO,23,7,-,-,-,159,-,36,36,-,-,-,3,-,-,18,-,3,20,-,4,-,-,36,-,6,28,-,-,-,41,14,6,6,-,-
North,RR,26,-,-,-,-,17,-,5,3,-,-,-,-,-,-,10,-,-,1,-,-,-,-,8,-,-,4,-,-,-,20,-,6,-,-,-
South,RS,270,22,56,95,2,666,317,109,295,241,4,8,6,-,-,113,80,-,41,35,3,-,-,272,80,27,87,54,4,-,204,30,98,19,11,3
South,SC,167,48,2,-,9,494,30,80,109,121,-,-,-,-,6,78,3,7,15,15,5,-,-,150,7,43,26,15,8,1,47,67,19,8,2,-
Northeast,SE,23,10,7,-,12,124,10,44,4,47,-,-,-,-,-,17,3,2,-,-,-,-,-,-,64,16,7,-,-,-,60,24,27,1,1,-
Southeast,SP,527,305,246,526,81,2317,1108,2583,1414,821,20,18,209,17,7,418,302,406,206,201,112,-,-,852,304,758,376,142,62,19,786,355,173,56,12,14
North,TO,16,10,7,-,-,73,-,21,10,21,1,-,-,-,-,21,-,-,10,9,9,-,-,38,-,-,20,10,12,-,45,19,13,-,-,-
