Region,State,isol_sus,isol_pvt,int_sus,int_pvt,itu1_sus,itu2_sus,itu3_sus,itu1_pvt,itu2_pvt,itu3_pvt,coitu2_sus,coitu3_sus,coitu2_pvt,coitu3_pvt,citu1_sus,citu2_sus,citu3_sus,citu1_pvt,citu2_pvt,citu3_pvt,nnint_sus,nnint_pvt,nnitu1_sus,nnitu2_sus,nnitu3_sus,nnitu1_pvt,nnitu2_pvt,nnitu3_pvt,bitu_sus,bitu_pvt,nnintconv_sus,nnintconv_pvt,nnintk_sus,nnintk_pvt,cint_sus,cint_pvt
North,AC,31,0,10,0,0,33,0,0,15,0,0,0,0,0,0,11,0,0,1,0,0,0,0,15,0,0,7,0,0,0,16,21,13,17,4,0
Northeast,AL,27,7,0,0,22,124,30,45,57,21,0,10,0,0,0,32,9,4,7,4,0,0,0,75,9,10,29,9,0,0,131,26,17,16,2,0
North,AM,149,14,26,0,11,166,0,35,31,28,10,0,0,10,0,112,1,17,6,4,12,0,0,59,0,32,6,5,0,0,73,8,52,32,20,0
North,AP,21,1,4,0,8,4,0,18,16,0,0,0,0,0,0,5,0,0,5,0,0,0,0,20,0,9,14,0,0,0,18,15,6,1,5,0
Northeast,BA,244,50,132,53,0,732,42,82,461,161,27,0,1,21,0,127,4,1,58,8,0,0,0,220,0,26,117,5,4,0,155,161,68,64,17,4
Northeast,CE,96,17,78,39,13,373,44,99,234,39,30,0,8,13,0,97,0,18,19,8,25,15,0,175,0,23,58,17,0,0,263,64,42,30,7,0
Midwest,DF,14,71,0,30,0,129,52,353,289,94,0,0,34,34,0,59,11,34,47,17,0,0,0,33,54,29,51,35,6,8,25,97,0,62,0,0
Southeast,ES,51,15,32,16,0,318,0,85,313,0,15,0,42,0,0,23,0,38,40,0,5,0,0,120,0,35,102,0,9,7,49,44,18,13,1,0
Midwest,GO,130,53,43,8,13,503,0,153,365,19,9,0,15,0,8,85,0,7,55,0,21,0,0,117,0,22,107,20,9,9,10,57,5,5,16,2
Northeast,MA,136,17,56,0,0,278,25,113,156,0,0,0,0,0,0,42,10,0,12,20,13,0,0,132,0,9,35,0,0,0,56,83,28,11,8,0
Southeast,MG,251,73,31,19,7,1935,71,270,559,254,45,0,43,19,0,167,27,58,65,42,6,0,0,582,10,114,141,73,14,5,236,74,91,16,5,30
Midwest,MS,35,15,1,2,0,132,57,41,87,35,10,0,13,16,0,23,10,1,9,6,6,0,0,46,8,12,9,0,0,0,62,15,13,4,0,0
Midwest,MT,99,23,32,1,0,179,19,101,266,27,6,0,10,0,0,18,0,31,45,8,0,0,0,85,0,45,74,10,0,0,23,13,14,7,12,0
North,PA,202,40,23,13,0,342,6,116,115,30,10,0,0,10,0,104,0,11,6,18,20,0,0,164,0,18,3,26,2,0,186,80,16,7,6,0
Northeast,PB,102,6,25,5,37,241,12,26,79,59,20,0,10,5,20,52,4,1,20,5,2,0,4,59,0,9,20,9,6,0,56,19,31,4,0,0
Northeast,PE,122,23,16,62,1,667,87,303,304,46,18,0,59,0,0,95,23,28,27,0,56,0,0,116,18,56,81,0,2,0,124,41,53,9,6,29
Northeast,PI,63,4,16,0,14,108,18,22,50,15,0,0,0,0,0,20,2,15,12,7,15,3,0,57,0,32,5,10,0,0,53,18,21,2,5,3
South,PR,229,57,63,122,8,964,246,193,454,141,24,0,21,10,0,91,81,12,35,22,1,1,0,327,93,41,91,35,10,2,140,52,20,4,6,7
Southeast,RJ,194,192,336,269,165,879,131,1178,875,750,10,0,55,34,34,94,24,121,151,98,30,0,16,294,71,226,299,300,10,28,222,181,60,22,42,33
Northeast,RN,39,5,29,1,4,188,19,77,143,0,0,0,7,0,0,33,0,4,15,0,0,0,0,91,0,25,19,0,0,0,30,5,40,0,0,0
North,RO,23,7,0,0,0,159,0,36,36,0,0,0,3,0,0,18,0,3,20,0,4,0,0,36,0,6,28,0,0,0,41,14,6,6,0,0
North,RR,26,0,0,0,0,17,0,5,3,0,0,0,0,0,0,10,0,0,1,0,0,0,0,8,0,0,4,0,0,0,20,0,6,0,0,0
South,RS,270,22,56,95,2,666,317,109,295,241,4,8,6,0,0,113,80,0,41,35,3,0,0,272,80,27,87,54,4,0,204,30,98,19,11,3
South,SC,167,48,2,0,9,494,30,80,109,121,0,0,0,0,6,78,3,7,15,15,5,0,0,150,7,43,26,15,8,1,47,67,19,8,2,0
Northeast,SE,23,10,7,0,12,124,10,44,4,47,0,0,0,0,0,17,3,2,0,0,0,0,0,0,64,16,7,0,0,0,60,24,27,1,1,0
Southeast,SP,527,305,246,526,81,2317,1108,2583,1414,821,20,18,209,17,7,418,302,406,206,201,112,0,0,852,304,758,376,142,62,19,786,355,173,56,12,14
North,TO,16,10,7,0,0,73,0,21,10,21,1,0,0,0,0,21,0,0,10,9,9,0,0,38,0,0,20,10,12,0,45,19,13,0,0,0
